Plate,Well,Part,Plasmid,Resistance,Well Status,Type,Sequencing,Short Description,Genbank File,Comments,Source,Subparts
Plate 1,1A,BBa_K314110,pSB1C3,chloramphenicol,OK,Translational_Unit,Confirmed(A),f1 origin,https://synbiohub.org/public/igem/BBa_K314110/1/gb,,iGEM10_Washington,1
Plate 1,1B,BBa_K731722,pSB1C3,chloramphenicol,OK,Terminator,Confirmed(A),T1 terminator from  E. coli rrnB,https://synbiohub.org/public/igem/BBa_K731722/1/gb,,iGEM12_TRENTO,1
Plate 1,1C,BBa_K398326,pSB1C3,chloramphenicol,OK,Regulatory,Confirmed(A),Promoter of the CaiF protein,https://synbiohub.org/public/igem/BBa_K398326/1/gb,#1 - 520 ng,iGEM10_TU_Delft,1
Plate 1,1D,BBa_K731722,pSB1C3,chloramphenicol,OK,Terminator,Confirmed(A),T1 terminator from  E. coli rrnB,https://synbiohub.org/public/igem/BBa_K731722/1/gb,I was not able to remove this line from the list. It is the same sample as #21,iGEM12_TRENTO,1
Plate 1,1E,BBa_K398331,pSB1C3,chloramphenicol,OK,Measurement,Confirmed(A),pCaiF-B0032 measurement device,https://synbiohub.org/public/igem/BBa_K398331/1/gb,#2 - 990 ng,iGEM10_TU_Delft,5
Plate 1,1F,BBa_K808025,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),FsC: Cutinase PET cleaving enzyme,https://synbiohub.org/public/igem/BBa_K808025/1/gb,may be toxic for gramm negativ bacteria due to lipase activity if its expressed into perplasma or surface expressed,iGEM12_TU_Darmstadt,1
Plate 1,1G,BBa_K314100,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),High constitutive expression cassette,https://synbiohub.org/public/igem/BBa_K314100/1/gb,,iGEM10_Washington,3
Plate 1,1H,BBa_K808001,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),tphC: terephtalate periplasmatic binding proteine of the tripartite transporter family,https://synbiohub.org/public/igem/BBa_K808001/1/gb,,iGEM12_TU_Darmstadt,1
Plate 1,1I,BBa_K314101,pSB1C3,chloramphenicol,OK,Composite,Confirmed(A),Low constitutive expression cassette,https://synbiohub.org/public/igem/BBa_K314101/1/gb,,iGEM10_Washington,3
Plate 1,1J,BBa_K808003,pSB1C3,chloramphenicol,OK,Coding,Confirmed(A),tctB_162: small subunit B1 of the tripartite tricarboxylate transporter family,https://synbiohub.org/public/igem/BBa_K808003/1/gb,,iGEM12_TU_Darmstadt,1
